SCG ID,Solution Name,Solution Version,Product Name,Product Version,Feature/Component,Implementation Priority,Description/Title,Discussion,Configuration Parameter,Installation Default Value,Baseline Suggested Value,Is the Default?,Action Needed,Setting Location,Potential Functional Impact if Default Value is Changed,PowerCLI Command Assessment,PowerCLI Command Remediation Example
vcenter-7.administration-client-session-timeout,VMware vSphere,7,VMware vCenter,7.0.3,Base,P0,The vCenter Server must terminate vSphere Client sessions after 15 minutes of inactivity.,"Idle vSphere Client sessions can be left open indefinitely if a user forgets to log out, thereby increasing the risk of unauthorized privileged access.","""Session Timeout""",120 minutes,15 minutes,NO,Modify,vSphere Client Configuration,None,N/A,N/A
vcenter-7.administration-failed-login-interval,VMware vSphere,7,VMware vCenter,7.0.3,Base,P1,The vCenter Server must set the interval for counting failed login attempts to at least 15 minutes.,"By limiting the number of failed login attempts, the risk of unauthorized access via user password guessing, otherwise known as brute-forcing, is reduced.",Time interval between failures,180,900,NO,Modify,vCenter Server SSO Configuration,None,Get-SsoLockoutPolicy | Select FailedAttempIntervalSec,Get-SsoLockoutPolicy | Set-SsoLockoutPolicy -FailedAttemptIntervalSec 900
vcenter-7.administration-login-message-details,VMware vSphere,7,VMware vCenter,7.0.3,Base,P1,Configure the vCenter Server login banner details for the vSphere Client.,"vCenter Server can display a login message, which serves to deter illegal activities and communicate system usage obligations to authorized users. This configuration sets the detailed text linked from the vSphere Client login page message.","""Details of Login Message""",Not Configured,"Consult your organization's legal advisors for text that is applicable to your environment.

An example is: ""Authorized users only. Actual or attempted unauthorized use of this system is prohibited and may result in criminal, civil, security, or administrative proceedings and/or penalties. Use of this information system indicates consent to monitoring and recording, without notice or permission. Users have no expectation of privacy in any use of this system. Any information stored on, or transiting this system, or obtained by monitoring and/or recording, may be disclosed to law enforcement and/or used in accordance with Federal law, State statute, and organization policy. If you are not an authorized user of this system, exit the system at this time.""",NO,Modify,vCenter Server SSO Configuration,None,"N/A (No public API available)

Can be configured using ""/opt/vmware/bin/sso-config.sh -set_logon_banner -title <logon_banner_title> <logonBannerFile>"" from an appliance shell. Please deactivate the shell again when you are done.","N/A (No public API available)

Can be configured using ""/opt/vmware/bin/sso-config.sh -set_logon_banner -title <logon_banner_title> <logonBannerFile>"" from an appliance shell. Please deactivate the shell again when you are done."
vcenter-7.administration-login-message-enable,VMware vSphere,7,VMware vCenter,7.0.3,Base,P1,Enable the vCenter Server login banner for the vSphere Client.,"vCenter Server can show a login message, useful for deterring intruders and communicating usage obligations to authorized users. This configuration enables the display of this message on the vSphere Client login page.","""Show Login Message""",FALSE,TRUE,NO,Modify,vCenter Server SSO Configuration,None,"N/A (No public API available)

Can be configured using ""/opt/vmware/bin/sso-config.sh -set_logon_banner -title <logon_banner_title> <logonBannerFile>"" from an appliance shell. Please deactivate the shell again when you are done.","N/A (No public API available)

Can be configured using ""/opt/vmware/bin/sso-config.sh -set_logon_banner -title <logon_banner_title> <logonBannerFile>"" from an appliance shell. Please deactivate the shell again when you are done."
vcenter-7.administration-login-message-text,VMware vSphere,7,VMware vCenter,7.0.3,Base,P1,Configure the vCenter Server login banner text for the vSphere Client.,"vCenter Server allows a login message, which deters intruders and communicates obligations to authorized users. This configuration establishes the text displayed on the vSphere Client login page.","""Login Message""",Not Configured,"Consult your organization's legal advisors for specific text.

An example is: ""Use of this system indicates awareness of, and consent to, the organizational policies governing this system.""",NO,Modify,vCenter Server SSO Configuration,None,"N/A (No public API available)

Can be configured using ""/opt/vmware/bin/sso-config.sh -set_logon_banner -title <logon_banner_title> <logonBannerFile>"" from an appliance shell. Please deactivate the shell again when you are done.","N/A (No public API available)

Can be configured using ""/opt/vmware/bin/sso-config.sh -set_logon_banner -title <logon_banner_title> <logonBannerFile>"" from an appliance shell. Please deactivate the shell again when you are done."
vcenter-7.administration-sso-groups,VMware vSphere,7,VMware vCenter,7.0.3,Base,P0,The vCenter Server must separate authentication and authorization for administrators.,"Combining authentication and authorization, as done in services like Active Directory, risks infrastructure breaches if compromised. Hence, vCenter Server should segregate these for administrators. Consider local SSO groups for authorization to better manage risk where feasible.",N/A,Not Configured,Not Configured,YES,Audit,vCenter Server SSO Configuration,Provisioning vCenter Server access will require interaction with vCenter Server SSO. Automation is possible with PowerCLI.,N/A,N/A
vcenter-7.administration-sso-lockout-policy-max-attempts,VMware vSphere,7,VMware vCenter,7.0.3,Base,P2,The vCenter Server must lock an account after a specified number of failed login attempts.,"Repeated failed logins for an account may signal security issues. To limit brute force attempts, lock the account after a certain threshold, balancing between avoiding automatic connection retries and potential denial-of-service attacks.",Maximum number of failed login attempts,5,5,YES,Audit,vCenter Server SSO Configuration,None,Get-SsoLockoutPolicy | Select MaxFailedAttempts,Get-SsoLockoutPolicy | Set-SsoLockoutPolicy -MaxFailedAttempts 5
vcenter-7.administration-sso-lockout-policy-unlock-time,VMware vSphere,7,VMware vCenter,7.0.3,Base,Advanced,The vCenter Server must unlock accounts after a specified timeout period.,Repeated failed logins may suggest security threats. Due to the importance of vCenter Server accounts should not automatically unlock when they have been locked due to multiple login failures. Ensure that you have your administrator@vsphere.local information and that it is valid.,Unlock time,300,0,NO,Modify,vCenter Server SSO Configuration,There is the opportunity for denial-of-service when accounts do not automatically unlock.,Get-SsoLockoutPolicy | Select AutoUnlockIntervalSec,Get-SsoLockoutPolicy | Set-SsoLockoutPolicy -AutoUnlockIntervalSec 0
vcenter-7.administration-sso-password-lifetime,VMware vSphere,7,VMware vCenter,7.0.3,Base,P1,The vCenter Server must be configured with an appropriate maximum password age.,"Modern best practices for passwords (NIST 800-63B Section 5.1.1.2, among other guidance) indicates that with adequate password entropy, security is not improved by arbitrarily requiring users to change their passwords at certain intervals. Many automated security tools and regulatory compliance frameworks do not reflect this guidance, and may override this recommendation.",Maximum Lifetime,90,9999,NO,Modify,vCenter Server SSO Configuration,None,Get-SsoPasswordPolicy | Select PasswordLifetimeDays,Get-SsoPasswordPolicy | Set-SsoPasswordPolicy -PasswordLifetimeDays 9999
vcenter-7.administration-sso-password-policy,VMware vSphere,7,VMware vCenter,7.0.3,Base,P1,The vCenter Server must enforce password complexity.,"Modern best practices for passwords (NIST 800-63B Section 5.1.1.2, among other guidance) suggests that composition rules (requiring mixtures of character classes, for example) should not be imposed on systems because they tend to not improve the security of passwords and discourage the use of more secure passphrases. Many regulatory compliance frameworks do not reflect this guidance, and may override this recommendation.

Password strength and complexity rules apply to accounts created in vSphere SSO, including administrator@vsphere.local. They do not apply to Active Directory users when vCenter Server is joined to a domain, as those password policies are enforced by AD.","Maximum Length,
Minimum Length,
Character Requirements","Maximum Length: 20
Minimum Length: 8
At least 1 special 
At least 2 alphabetic
At least 1 uppercase
At least 1 lowercase
At least 1 numeric
3 identical adjacent","Maximum Length: 64
Minimum Length: 15
At least 1 special 
At least 2 alphabetic
At least 1 uppercase
At least 1 lowercase
At least 1 numeric
3 identical adjacent",NO,Modify,vCenter Server SSO Configuration,Other products and services within the VMware ecosystem may not expect changes to password complexity requirements and may fail installation.,Get-SsoPasswordPolicy,Get-SsoPasswordPolicy | Set-SsoPasswordPolicy -MinLength 15 -MaxLength 64 -MinNumericCount 1 -MinSpecialCharCount 1 -MinAlphabeticCount 2 -MinUppercaseCount 1 -MinLowercaseCount 1 -MaxIdenticalAdjacentCharacters 3
vcenter-7.administration-sso-password-reuse,VMware vSphere,7,VMware vCenter,7.0.3,Base,P2,Configure the password history setting to restrict the reuse of passwords on the vCenter Server.,Password complexity rules may lead users to reuse old passwords. Configuring the password history setting on the vCenter Server can help prevent this.,Restrict Reuse,5,5,YES,Audit,vCenter Server SSO Configuration,None,Get-SsoPasswordPolicy | Select ProhibitedPreviousPasswordsCount,Get-SsoPasswordPolicy | Set-SsoPasswordPolicy -ProhibitedPreviousPasswordsCount 5
vcenter-7.etc-issue,VMware vSphere,7,VMware vCenter,7.0.3,Base,P1,Configure the vCenter Server login banner text for access via SSH.,"vCenter Server allows a login message, which deters intruders and communicates obligations to authorized users. This configuration establishes the text displayed when a client connects via SSH. The default text leaks information to attackers about system configuration and should be changed.",etc.issue,"""VMware vCenter Server 7.0.3.00000Type: vCenter Server with an embedded Platform Services Controller""","Consult your organization's legal advisors for text that is applicable to your environment.

An example is: ""Authorized users only. Actual or attempted unauthorized use of this system is prohibited and may result in criminal, civil, security, or administrative proceedings and/or penalties. Use of this information system indicates consent to monitoring and recording, without notice or permission. Users have no expectation of privacy in any use of this system. Any information stored on, or transiting this system, or obtained by monitoring and/or recording, may be disclosed to law enforcement and/or used in accordance with Federal law, State statute, and organization policy. If you are not an authorized user of this system, exit the system at this time.""",NO,Modify,vCenter Server Advanced Settings,None,Get-AdvancedSetting -Entity $VC -Name etc.issue,"Get-AdvancedSetting -Entity $VC -Name etc.issue | Set-AdvancedSetting -Value ""Authorized users only. Actual or attempted unauthorized use of this system is prohibited and may result in criminal, civil, security, or administrative proceedings and/or penalties. Use of this information system indicates consent to monitoring and recording, without notice or permission. Users have no expectation of privacy in any use of this system. Any information stored on, or transiting this system, or obtained by monitoring and/or recording, may be disclosed to law enforcement and/or used in accordance with Federal law, State statute, and organization policy. If you are not an authorized user of this system, exit the system at this time."""
vcenter-7.events-database-retention,VMware vSphere,7,VMware vCenter,7.0.3,Base,P2,The vCenter server must have task and event retention set to an apppropriate interval.,"vCenter Server retains task and event data, which ages out to save storage space. The age is configurable. This only impacts local storage of event data on the vCenter Server Appliance.",Task Retention,30,30,YES,Audit,vCenter Server Database Settings,None,N/A,N/A
vcenter-7.events-remote-logging,VMware vSphere,7,VMware vCenter,7.0.3,Base,P2,Enable remote logging of vCenter Server events.,Remote logging to a central host enhances vCenter Server's security by storing logs securely. It simplifies monitoring across hosts and supports aggregate analysis for detecting coordinated attacks. Centralized logging prevents tampering and serves as a reliable long-term audit record.,vpxd.event.syslog.enabled,true,true,YES,Audit,vCenter Server Advanced Settings,None,Get-AdvancedSetting -Entity $VC -Name vpxd.event.syslog.enabled,Get-AdvancedSetting -Entity $VC -Name vpxd.event.syslog.enabled | Set-AdvancedSetting -Value true
vcenter-7.logs-level-global,VMware vSphere,7,VMware vCenter,7.0.3,Base,P2,The vCenter Server must produce audit records containing information to establish what type of events occurred.,It is important to ensure that sufficient information is present in audit logs for diagnostics and forensics purposes.,config.log.level,info,info,YES,Audit,vCenter Server Advanced Settings,None,Get-AdvancedSetting -Entity $VC -Name config.log.level,Get-AdvancedSetting -Entity $VC -Name config.log.level | Set-AdvancedSetting -Value info
vcenter-7.network-reject-forged-transmit-dvportgroup,VMware vSphere,7,VMware vCenter,7.0.3,Distributed Switch,"P2
Upon Feature Enablement",All distributed switches and their port groups must be configured to reject forged transmits.,"A virtual machine can impersonate network adaptors by changing MAC addresses, posing security threats. By setting the Forged Transmits option to Reject on all distributed switches and port groups, ESXi verifies MAC addresses and prevents such impersonation.",N/A,Reject,Reject,YES,Audit,Distributed Switch Port Group Settings,Some workloads do legitimately use these network tactics and will be negatively affected by the defaults/desired state.,"Get-VDSwitch -Name $VDS | Get-VDSecurityPolicy
Get-VDPortgroup -Name $VDPG | Get-VDSecurityPolicy","Get-VDSwitch -Name $VDS | Get-VDSecurityPolicy | Set-VDSecurityPolicy -ForgedTransmits $false
Get-VDPortgroup -Name $VDPG | Get-VDSecurityPolicy | Set-VDSecurityPolicy -ForgedTransmits $false"
vcenter-7.network-reject-mac-changes-dvportgroup,VMware vSphere,7,VMware vCenter,7.0.3,Distributed Switch,"P2
Upon Feature Enablement",All distributed switches and their port groups must be configured to reject guest MAC address changes.,"Allowing virtual machines to change MAC addresses poses security risks, enabling potential network adaptor impersonation. Rejecting MAC changes on all distributed switches and port groups prevents this, but may impact certain applications like Microsoft Clustering or MAC address-dependent licensing. Exceptions should be made as necessary.",N/A,Reject,Reject,YES,Audit,Distributed Switch Port Group Settings,Some workloads do legitimately use these network tactics and will be negatively affected by the defaults/desired state.,"Get-VDSwitch -Name $VDS | Get-VDSecurityPolicy
Get-VDPortgroup -Name $VDPG | Get-VDSecurityPolicy","Get-VDSwitch -Name $VDS | Get-VDSecurityPolicy | Set-VDSecurityPolicy -MacChanges $false
Get-VDPortgroup -Name $VDPG | Get-VDSecurityPolicy | Set-VDSecurityPolicy -MacChanges $false"
vcenter-7.network-reject-promiscuous-mode-dvportgroup,VMware vSphere,7,VMware vCenter,7.0.3,Distributed Switch,"P2
Upon Feature Enablement",All distributed switches and their port groups must be configured to reject guest promiscuous mode requests.,"Enabling promiscuous mode on a port group allows all connected virtual machines to read all network packets, posing a potential security risk. Although sometimes necessary for debugging or monitoring, the default setting - reject - is recommended. Exceptions can be made for specific port groups as required.",N/A,Reject,Reject,YES,Audit,Distributed Switch Port Group Settings,Some workloads do legitimately use these network tactics and will be negatively affected by the defaults/desired state.,"Get-VDSwitch -Name $VDS | Get-VDSecurityPolicy
Get-VDPortgroup -Name $VDPG | Get-VDSecurityPolicy","Get-VDSwitch -Name $VDS | Get-VDSecurityPolicy | Set-VDSecurityPolicy -AllowPromiscuous $false
Get-VDPortgroup -Name $VDPG | Get-VDSecurityPolicy | Set-VDSecurityPolicy -AllowPromiscuous $false"
vcenter-7.network-reset-port,VMware vSphere,7,VMware vCenter,7.0.3,Distributed Switch,"P2
Upon Feature Enablement",The vCenter Server must reset port configuration when virtual machines are disconnected.,"When a virtual machine is disconnected from the virtual switch port it is desirable to reset the port configuration, so that another virtual machine that attaches has a port in a known state.",N/A,Enabled,Enabled,YES,Audit,Distributed Switch Settings,None,(Get-VDPortgroup -Name $VDPG).ExtensionData.Config.Policy | Select PortConfigResetAtDisconnect,"$VDPGview = Get-VDPortgroup -Name $VDPG | Get-View 
$ConfigSpec = New-Object VMware.Vim.DVPortgroupConfigSpec
$ConfigSpec.DefaultPortConfig = New-Object VMware.Vim.VMwareDVSPortSetting
$ConfigSpec.Policy = New-Object VMware.Vim.VMwareDVSPortgroupPolicy
$ConfigSpec.Policy.PortConfigResetAtDisconnect = $true
$ConfigSpec.ConfigVersion = $VDPGview.Config.ConfigVersion
$VDPGview.ReconfigureDVPortgroup_Task($ConfigSpec)"
vcenter-7.network-restrict-discovery-protocol,VMware vSphere,7,VMware vCenter,7.0.3,Distributed Switch,"P1
Upon Feature Enablement",The vCenter Server must deactivate CDP/LLDP on distributed switches.,"vSphere Distributed Virtual Switch can engage in CDP or LLDP, potentially sharing sensitive unencrypted information, like IP addresses and system names, on the network. As it can aid adversaries in understanding or impersonating your environment, It is recommended to keep it deactivated unless necessary.",N/A,"Cisco Discovery Protocol,
Listen",Deactivated,NO,Modify,Distributed Switch Settings,None,(Get-VDSwitch -Name $VDS).ExtensionData.config.LinkDiscoveryProtocolConfig,"$VDview = Get-VDSwitch -Name $VDS | Get-View
$ConfigSpec = New-Object VMware.Vim.VMwareDVSConfigSpec
$ConfigSpec.LinkDiscoveryProtocolConfig = New-Object VMware.Vim.LinkDiscoveryProtocolConfig
$ConfigSpec.LinkDiscoveryProtocolConfig.Protocol = 'cdp'
$ConfigSpec.LinkDiscoveryProtocolConfig.Operation = 'none'
$ConfigSpec.ConfigVersion = $VDview.Config.ConfigVersion
$VDview.ReconfigureDvs_Task($ConfigSpec)"
vcenter-7.network-restrict-netflow-usage,VMware vSphere,7,VMware vCenter,7.0.3,Distributed Switch,"P2
Upon Feature Enablement",The vCenter Server must ensure that NetFlow traffic is being sent to authorized collectors.,"vSphere Distributed Switch can export unencrypted NetFlow data, revealing details about virtual network and traffic patterns. It is essential to verify that NetFlow usage is authorized and correctly configured to prevent information leaks.",N/A,Not Configured,Not Configured,YES,Audit,Distributed Switch Settings,Legitimate network monitoring tools may require this functionality.,"(Get-VDSwitch -Name $VDS).ExtensionData.config.IpfixConfig.CollectorIpAddress

(Get-VDPortgroup -Name $VDPG).ExtensionData.Config.DefaultPortConfig.IpfixEnabled","$VDPGview = Get-VDPortgroup -Name $VDPG | Get-View 
$ConfigSpec = New-Object VMware.Vim.DVPortgroupConfigSpec
$ConfigSpec.DefaultPortConfig = New-Object VMware.Vim.VMwareDVSPortSetting
$ConfigSpec.DefaultPortConfig.IpfixEnabled = New-Object VMware.Vim.BoolPolicy
$ConfigSpec.DefaultPortConfig.IpfixEnabled.Inherited = $false
$ConfigSpec.DefaultPortConfig.IpfixEnabled.Value = $false
$ConfigSpec.ConfigVersion = $VDPGview.Config.ConfigVersion
$VDPGview.ReconfigureDVPortgroup_Task($ConfigSpec)"
vcenter-7.network-restrict-port-level-overrides,VMware vSphere,7,VMware vCenter,7.0.3,Distributed Switch,"P2
Upon Feature Enablement","The vCenter Server must not override port group settings at the port level on distributed switches, except for block ports.","While port-level configuration overrides may be needed for unique VM setups, they must be closely monitored to prevent unauthorized use. Unmonitored overrides could allow broader access if a less secure Distributed Switch configuration is exploited.",N/A,"Block Ports Override: TRUE
All Other Overrides: FALSE","Block Ports Override: TRUE
All Other Overrides: FALSE",YES,Audit,Distributed Switch Port Group Settings,None,(Get-VDPortgroup -Name $VDPG).ExtensionData.Config.Policy,"$VDPGview = Get-VDPortgroup -Name $VDPG | Get-View 
$ConfigSpec = New-Object VMware.Vim.DVPortgroupConfigSpec
$ConfigSpec.DefaultPortConfig = New-Object VMware.Vim.VMwareDVSPortSetting
$ConfigSpec.Policy = New-Object VMware.Vim.VMwareDVSPortgroupPolicy
$ConfigSpec.Policy.UplinkTeamingOverrideAllowed = $false
$ConfigSpec.Policy.BlockOverrideAllowed = $true
$ConfigSpec.Policy.LivePortMovingAllowed = $false
$ConfigSpec.Policy.VlanOverrideAllowed = $false
$ConfigSpec.Policy.SecurityPolicyOverrideAllowed = $false
$ConfigSpec.Policy.VendorConfigOverrideAllowed = $false
$ConfigSpec.Policy.ShapingOverrideAllowed = $false
$ConfigSpec.Policy.IpfixOverrideAllowed = $false
$ConfigSpec.Policy.TrafficFilterOverrideAllowed = $false
$ConfigSpec.ConfigVersion = $VDPGview.Config.ConfigVersion
$VDPGview.ReconfigureDVPortgroup_Task($ConfigSpec)"
vcenter-7.network-restrict-port-mirroring,VMware vSphere,7,VMware vCenter,7.0.3,Distributed Switch,"P2
Upon Feature Enablement",The vCenter Server must remove unauthorized port mirroring sessions on distributed switches.,"vSphere Distributed Switch can mirror traffic between ports, enabling traffic observation. To maintain security, any unauthorized port mirroring sessions on distributed switches must be promptly removed.",N/A,Not Configured,Not Configured,YES,Audit,Distributed Switch Settings,None,(Get-VDSwitch -Name $VDS).ExtensionData.config.VspanSession,N/A
vcenter-7.network-vgt,VMware vSphere,7,VMware vCenter,7.0.3,Distributed Switch,"P2
Upon Feature Enablement",The vCenter Server must restrict the use of Virtual Guest Tagging (VGT) on Distributed Switches.,"Setting a port group to VLAN 4095 allows Virtual Guest Tagging (VGT), requiring the VM to process VLAN tags. This should only be enabled for VMs authorized and equipped to manage VLAN tags, as inappropriate use can cause service denial or unauthorized VLAN traffic interaction.",N/A,Not Configured,Not Configured,YES,Audit,Distributed Switch Port Group Settings,None,"Get-VDPortgroup -Name $VDPG | Where {$_.ExtensionData.Config.Uplink -ne ""True""} | Select Name,VlanConfiguration","# Get-VDPortgroup $VDPG | Set-VDVlanConfiguration -VlanId ""<New VLAN#>"""
vcenter-7.supported,VMware vSphere,7,VMware vCenter,7.0.3,Base,P2,vCenter Server is a version that has not reached End of General Support status.,Ensure that vCenter Server is of a version that has not reached End of General Support status.,Product Version & Build Number,N/A,N/A,YES,Audit,vCenter Server Virtual Appliance Management Interface,None,N/A,N/A
vcenter-7.vami-access-ssh,VMware vSphere,7,VMware vCenter,7.0.3,VAMI,P2,The vCenter Server SSH service must be deactivated.,"vCenter Server, delivered as an appliance, is intended for management via VAMI, vSphere Client, and APIs. While SSH is a support tool, it should be deactivated unless required, except for vCenter Server High Availability (not vSphere HA!) which necessitates its use.","VAMI, SSH Login",Deactivated,Deactivated,YES,Audit,vCenter Server Virtual Appliance Management Interface,None,"(Get-CisService -Name ""com.vmware.appliance.access.ssh"").get()","(Get-CisService -Name ""com.vmware.appliance.access.ssh"").set($false)"
vcenter-7.vami-administration-password-expiration,VMware vSphere,7,VMware vCenter,7.0.3,VAMI,P0,The vCenter Server root account password expiration must be configured appropriately.,"Modern best practices for passwords (NIST 800-63B Section 5.1.1.2, among other guidance) indicates that with adequate password entropy, security is not improved by arbitrarily requiring users to change their passwords at certain intervals. Many automated security tools and regulatory compliance frameworks do not reflect this guidance, and may override this recommendation.","VAMI, Password Expires",Yes,No,NO,Modify,vCenter Server Virtual Appliance Management Interface,Failure to reset the password before the expiration means that recovery procedures will be necessary.,N/A,N/A
vcenter-7.vami-backup,VMware vSphere,7,VMware vCenter,7.0.3,VAMI,P0,Configure File-Based Backup and Recovery.,"File-Based Backup and Recovery, which allows vCenter Server and configuration recovery via the vCenter Server installer, plays a crucial role in safeguarding your environment. It should be appropriately configured.","VAMI, Backup",Not Configured,Configured,NO,Modify,vCenter Server Virtual Appliance Management Interface,None,N/A,N/A
vcenter-7.vami-syslog,VMware vSphere,7,VMware vCenter,7.0.3,VAMI,P0,Configure a remote log server for the vCenter Server.,Remote logging to a central host enhances vCenter Server's security by storing logs securely. It simplifies monitoring across hosts and supports aggregate analysis for detecting coordinated attacks. Centralized logging prevents tampering and serves as a reliable long-term audit record.,"VAMI, Syslog",Not Configured,Site-Specific Log Server,NO,Modify,vCenter Server Virtual Appliance Management Interface,None,"(Get-CisService -Name ""com.vmware.appliance.logging.forwarding"").get()",N/A
vcenter-7.vami-time,VMware vSphere,7,VMware vCenter,7.0.3,VAMI,P0,vCenter Server must have reliable time synchronization sources.,"Cryptography, audit logging, cluster operations, and incident response/forensics heavily rely on synchronized time. The recommended practice for NTP is to have at least four sources. It is not advisable to have only two sources, as having one source is preferable to having two.","VAMI, Time",Not Configured,"Site-Specific or:
0.vmware.pool.ntp.org,
1.vmware.pool.ntp.org,
2.vmware.pool.ntp.org,
3.vmware.pool.ntp.org",NO,Modify,vCenter Server Virtual Appliance Management Interface,None,"(Get-CisService -Name ""com.vmware.appliance.timesync"").get()
(Get-CisService -Name ""com.vmware.appliance.ntp"").get()","(Get-CisService -Name ""com.vmware.appliance.timesync"").set(""NTP"")
(Get-CisService -Name ""com.vmware.appliance.ntp"").set(""0.vmware.pool.ntp.org,1.vmware.pool.ntp.org,2.vmware.pool.ntp.org,3.vmware.pool.ntp.org"")"
vcenter-7.vami-updates,VMware vSphere,7,VMware vCenter,7.0.3,VAMI,P2,vCenter Server has all software updates installed.,"By keeping vCenter Server patches up to date, vulnerabilities can be mitigated. It is important to note that educated attackers can exploit known vulnerabilities when attempting to gain unauthorized access or elevate privileges.

When applying updates, it is recommended to update vCenter Server first, if an update is available, and then proceed with updating ESXi. This sequence ensures that the management layer is updated before updating the ESXi hosts.",Product Version & Build Number,N/A,N/A,YES,Audit,vCenter Server Virtual Appliance Management Interface,None,N/A,N/A
vcenter-7.vpxuser-rotation,VMware vSphere,7,VMware vCenter,7.0.3,Base,P2,The vCenter Server must configure the vpxuser password to be rotated on an appropriate interval.,Ensures that the vCenter Server is properly rotating the password it automatically sets on the ESXi hosts.,VirtualCenter.VimPasswordExpirationInDays,30,30,YES,Audit,vCenter Server Advanced Settings,None,Get-AdvancedSetting -Entity $VC -Name VirtualCenter.VimPasswordExpirationInDays,Get-AdvancedSetting -Entity $VC -Name VirtualCenter.VimPasswordExpirationInDays | Set-AdvancedSetting -Value 30
vm-7.deactivate-console-copy,VMware vSphere,7,VMware ESXi,7.0.3,Virtual Machine,P2,Virtual machines must have console copy operations deactivated.,"Deactivating console copy operations on virtual machines prevents data copying between the VM and the local client, regardless of whether the user is accessing through Web Console, VMRC, or another method.",isolation.tools.copy.disable,Undefined (Defaults to TRUE),Undefined (Defaults to TRUE),YES,Audit,VM Advanced Parameters,None,Get-VM -Name $VM | Get-AdvancedSetting isolation.tools.copy.disable,Get-VM -Name $VM | Remove-AdvancedSetting -Name isolation.tools.copy.disable
vm-7.deactivate-console-paste,VMware vSphere,7,VMware ESXi,7.0.3,Virtual Machine,P2,Virtual machines must have console paste operations deactivated.,"By disabling console paste operations on virtual machines, data transfer from the local client to the VM is blocked, whether the user is using Web Console, VMRC, or another console.",isolation.tools.paste.disable,Undefined (Defaults to TRUE),Undefined (Defaults to TRUE),YES,Audit,VM Advanced Parameters,None,Get-VM -Name $VM | Get-AdvancedSetting isolation.tools.paste.disable,Get-VM -Name $VM | Remove-AdvancedSetting -Name isolation.tools.paste.disable
vm-7.deactivate-disk-shrinking-shrink,VMware vSphere,7,VMware ESXi,7.0.3,Virtual Machine,P2,Virtual machines must have virtual disk shrinking operations deactivated.,Disabling virtual disk shrinking on virtual machines helps avoid disk unavailability issues. The ability to perform this operation is typically limited for non-administrative users in the guest environment.,isolation.tools.diskShrink.disable,Undefined (Defaults to TRUE),Undefined (Defaults to TRUE),YES,Audit,VM Advanced Parameters,None,Get-VM -Name $VM | Get-AdvancedSetting isolation.tools.diskShrink.disable,Get-VM -Name $VM | Remove-AdvancedSetting -Name isolation.tools.diskShrink.disable
vm-7.deactivate-disk-shrinking-wiper,VMware vSphere,7,VMware ESXi,7.0.3,Virtual Machine,P2,Virtual machines must have virtual disk wiping operations deactivated.,Disabling virtual disk wiping on virtual machines helps avoid disk unavailability issues. The ability to perform this operation is typically limited for non-administrative users in the guest environment.,isolation.tools.diskWiper.disable,Undefined (Defaults to TRUE),Undefined (Defaults to TRUE),YES,Audit,VM Advanced Parameters,None,Get-VM -Name $VM | Get-AdvancedSetting isolation.tools.diskWiper.disable,Get-VM -Name $VM | Remove-AdvancedSetting -Name isolation.tools.diskWiper.disable
vm-7.deactivate-non-essential-3d-features,VMware vSphere,7,VMware ESXi,7.0.3,Virtual Machine,P0,Virtual machines must have 3D graphics features deactivated when not required.,"Turning off 3D graphics features on virtual machines that don't need them reduces potential attack vectors, enhancing overall system security.",mks.enable3d,TRUE,FALSE,NO,Modify,VM Advanced Parameters,GPU and Virtual Desktops may require this functionality.,Get-VM -Name $VM | Get-AdvancedSetting mks.enable3d,Get-VM -Name $VM | Get-AdvancedSetting mks.enable3d | Set-AdvancedSetting -Value FALSE
vm-7.dvfilter,VMware vSphere,7,VMware ESXi,7.0.3,Virtual Machine,P2,"Virtual machines must limit access through the ""dvfilter"" network Application Programming Interface (API).","The dvFilter interface is used by tools like NSX to filter and inspect network traffic. Other tools may use it, too. Ensure that those tools are authorized.",ethernet*.filter*.name,Not Present,Not Present,YES,Audit,VM Advanced Parameters,"Legitimate network tools, including NSX, may require this functionality.","Get-VM -Name $VM | Get-AdvancedSetting ""ethernet*.filter*.name*""","Get-VM -Name $VM | Get-AdvancedSetting ""ethernet*.filter*.name*"" | Remove-AdvancedSetting"
vm-7.ft-encrypted,VMware vSphere,7,VMware ESXi,7.0.3,Virtual Machine,P1,Virtual machines must require encryption for Fault Tolerance.,"Requiring encryption for Fault Tolerance in VMs ensures secure data transmission. While the default 'opportunistic' encryption likely results in encryption due to ubiquitous AES-NI support in vSphere-compatible hardware, enforcing 'required' encryption guarantees no unencrypted operations.",VM Configuration,ftEncryptionOpportunistic,ftEncryptionRequired,NO,Modify,VM Settings,None,(Get-VM -Name $VM).ExtensionData.Config.FtEncryptionMode,"$VMview = Get-VM -Name $VM | Get-View 
$ConfigSpec = New-Object VMware.Vim.VirtualMachineConfigSpec
$ConfigSpec.FtEncryptionMode = New-object VMware.Vim.VirtualMachineConfigSpecEncryptedFtModes
$ConfigSpec.FtEncryptionMode = ""ftEncryptionRequired"" 
$VMview.ReconfigVM_Task($ConfigSpec)"
