control_id,priority,resource_kind,adapter_kind,parameter,parameter_kind,value_type,expected_value,title,description,source_ref,remediation_text,read_recipe
dvpg.network-restrict-port-level-overrides,P2,DistributedVirtualPortgroup,VMWARE,config.policy.securityPolicyOverrideAllowed,vim_property,boolean,false,"The vCenter Server must not override port group settings at the port level on distributed switches, except for block ports.","While port-level configuration overrides may be needed for unique VM setups, they must be closely monitored to prevent unauthorized use. Unmonitored overrides could allow broader access if a less secure Distributed Switch configuration is exploited. [PARTIAL COVERAGE: this adapter checks only the securityPolicyOverrideAllowed flag (1 of ~7 per-port override flags the full control intends — block/teaming/vlan/shaping/vendorConfig/ipfix/trafficFilter overrides are NOT checked). A pass means the security-policy override is correctly disabled, not that the whole control is satisfied. See UNAUDITED_CONTROLS.md.]",SCG-7.0:vcenter-7.network-restrict-port-level-overrides,$VDPGview = Get-VDPortgroup -Name $VDPG | Get-View ; $ConfigSpec = New-Object VMware.Vim.DVPortgroupConfigSpec ; $ConfigSpec.DefaultPortConfig = New-Object VMware.Vim.VMwareDVSPortSetting ; $ConfigSpec.Policy = New-Object VMware.Vim.VMwareDVSPortgroupPolicy ; $ConfigSpec.Policy.UplinkTeamingOverrideAllowed = $false ; $ConfigSpec.Policy.BlockOverrideAllowed = $true ; $ConfigSpec.Policy.LivePortMovingAllowed = $false ; $ConfigSpec.Policy.VlanOverrideAllowed = $false ; $ConfigSpec.Policy.SecurityPolicyOverrideAllowed = $false ; $ConfigSpec.Policy.VendorConfigOverrideAllowed = $false ; $ConfigSpec.Policy.ShapingOverrideAllowed = $false ; $ConfigSpec.Policy.IpfixOverrideAllowed = $false ; $ConfigSpec.Policy.TrafficFilterOverrideAllowed = $false ; $ConfigSpec.ConfigVersion = $VDPGview.Config.ConfigVersion ; $VDPGview.ReconfigureDVPortgroup_Task($ConfigSpec),bool:config.policy.securityPolicyOverrideAllowed
vds.network-restrict-port-mirroring,P2,DistributedVirtualSwitch,VMWARE,config.vspanSession.empty,vim_property,boolean,true,The vCenter Server must remove unauthorized port mirroring sessions on distributed switches.,"vSphere Distributed Switch can mirror traffic between ports, enabling traffic observation. To maintain security, any unauthorized port mirroring sessions on distributed switches must be promptly removed.",SCG-7.0:vcenter-7.network-restrict-port-mirroring,N/A,list_empty:config.vspanSession
dvpg.network-vgt,P2,DistributedVirtualPortgroup,VMWARE,config.defaultPortConfig.vlan.notVgt,vim_property,boolean,true,The vCenter Server must restrict the use of Virtual Guest Tagging (VGT) on Distributed Switches.,"Setting a port group to VLAN 4095 allows Virtual Guest Tagging (VGT), requiring the VM to process VLAN tags. This should only be enabled for VMs authorized and equipped to manage VLAN tags, as inappropriate use can cause service denial or unauthorized VLAN traffic interaction.",SCG-7.0:vcenter-7.network-vgt,"# Get-VDPortgroup $VDPG | Set-VDVlanConfiguration -VlanId ""<New VLAN#>""",vlan_id_not:config.defaultPortConfig.vlan
vc.supported,P2,VCenterAdapterInstance,VMWARE,Product Version & Build Number,manual_audit,string,N/A,vCenter Server is a version that has not reached End of General Support status.,Ensure that vCenter Server is of a version that has not reached End of General Support status.,SCG-7.0:vcenter-7.supported,N/A,
vc.vami-access-ssh,P2,VCenterAdapterInstance,VMWARE,vami.access.ssh,vami_api,boolean,false,The vCenter Server SSH service must be deactivated.,"vCenter Server, delivered as an appliance, is intended for management via VAMI, vSphere Client, and APIs. While SSH is a support tool, it should be deactivated unless required, except for vCenter Server High Availability (not vSphere HA!) which necessitates its use.",SCG-7.0:vcenter-7.vami-access-ssh,"(Get-CisService -Name ""com.vmware.appliance.access.ssh"").set($false)",vami:access/ssh:(value)
vc.vami-administration-password-expiration,P0,VCenterAdapterInstance,VMWARE,vami.local-accounts.root.max-days-between-password-change,vami_api,integer,-1,The vCenter Server root account password expiration must be configured appropriately.,"Modern best practices for passwords (NIST 800-63B Section 5.1.1.2, among other guidance) indicates that with adequate password entropy, security is not improved by arbitrarily requiring users to change their passwords at certain intervals. Many automated security tools and regulatory compliance frameworks do not reflect this guidance, and may override this recommendation.",SCG-7.0:vcenter-7.vami-administration-password-expiration,N/A,vami:local-accounts/root:max_days_between_password_change
vc.vami-backup,P0,VCenterAdapterInstance,VMWARE,"VAMI, Backup",manual_audit,string,Configured,Configure File-Based Backup and Recovery.,"File-Based Backup and Recovery, which allows vCenter Server and configuration recovery via the vCenter Server installer, plays a crucial role in safeguarding your environment. It should be appropriately configured.",SCG-7.0:vcenter-7.vami-backup,N/A,
vc.vami-syslog,P0,VCenterAdapterInstance,VMWARE,vami.logging.forwarding,vami_api,string,(non-empty),Configure a remote log server for the vCenter Server.,Remote logging to a central host enhances vCenter Server's security by storing logs securely. It simplifies monitoring across hosts and supports aggregate analysis for detecting coordinated attacks. Centralized logging prevents tampering and serves as a reliable long-term audit record.,SCG-7.0:vcenter-7.vami-syslog,N/A,vami:logging/forwarding:(list)
vc.vami-time,P0,VCenterAdapterInstance,VMWARE,vami.ntp.servers,vami_api,string,(non-empty),vCenter Server must have reliable time synchronization sources.,"Cryptography, audit logging, cluster operations, and incident response/forensics heavily rely on synchronized time. The recommended practice for NTP is to have at least four sources. It is not advisable to have only two sources, as having one source is preferable to having two.",SCG-7.0:vcenter-7.vami-time,"(Get-CisService -Name ""com.vmware.appliance.timesync"").set(""NTP"") ; (Get-CisService -Name ""com.vmware.appliance.ntp"").set(""0.vmware.pool.ntp.org,1.vmware.pool.ntp.org,2.vmware.pool.ntp.org,3.vmware.pool.ntp.org"")",vami:ntp:(list)
vc.vami-updates,P2,VCenterAdapterInstance,VMWARE,Product Version & Build Number,manual_audit,string,N/A,vCenter Server has all software updates installed.,"By keeping vCenter Server patches up to date, vulnerabilities can be mitigated. It is important to note that educated attackers can exploit known vulnerabilities when attempting to gain unauthorized access or elevate privileges.

When applying updates, it is recommended to update vCenter Server first, if an update is available, and then proceed with updating ESXi. This sequence ensures that the management layer is updated before updating the ESXi hosts.",SCG-7.0:vcenter-7.vami-updates,N/A,
vc.vpxuser-rotation,P2,VCenterAdapterInstance,VMWARE,VirtualCenter.VimPasswordExpirationInDays,advanced_setting,integer,30,The vCenter Server must configure the vpxuser password to be rotated on an appropriate interval.,Ensures that the vCenter Server is properly rotating the password it automatically sets on the ESXi hosts.,SCG-7.0:vcenter-7.vpxuser-rotation,Get-AdvancedSetting -Entity $VC -Name VirtualCenter.VimPasswordExpirationInDays | Set-AdvancedSetting -Value 30,
vm.deactivate-console-copy,P2,VirtualMachine,VMWARE,isolation.tools.copy.disable,advanced_setting,string,TRUE or Undefined,Virtual machines must have console copy operations deactivated.,"Deactivating console copy operations on virtual machines prevents data copying between the VM and the local client, regardless of whether the user is accessing through Web Console, VMRC, or another method.",SCG-7.0:vm-7.deactivate-console-copy,Get-VM -Name $VM | Remove-AdvancedSetting -Name isolation.tools.copy.disable,
vm.deactivate-console-paste,P2,VirtualMachine,VMWARE,isolation.tools.paste.disable,advanced_setting,string,TRUE or Undefined,Virtual machines must have console paste operations deactivated.,"By disabling console paste operations on virtual machines, data transfer from the local client to the VM is blocked, whether the user is using Web Console, VMRC, or another console.",SCG-7.0:vm-7.deactivate-console-paste,Get-VM -Name $VM | Remove-AdvancedSetting -Name isolation.tools.paste.disable,
vm.deactivate-disk-shrinking-shrink,P2,VirtualMachine,VMWARE,isolation.tools.diskShrink.disable,advanced_setting,string,TRUE or Undefined,Virtual machines must have virtual disk shrinking operations deactivated.,Disabling virtual disk shrinking on virtual machines helps avoid disk unavailability issues. The ability to perform this operation is typically limited for non-administrative users in the guest environment.,SCG-7.0:vm-7.deactivate-disk-shrinking-shrink,Get-VM -Name $VM | Remove-AdvancedSetting -Name isolation.tools.diskShrink.disable,
vm.deactivate-disk-shrinking-wiper,P2,VirtualMachine,VMWARE,isolation.tools.diskWiper.disable,advanced_setting,string,TRUE or Undefined,Virtual machines must have virtual disk wiping operations deactivated.,Disabling virtual disk wiping on virtual machines helps avoid disk unavailability issues. The ability to perform this operation is typically limited for non-administrative users in the guest environment.,SCG-7.0:vm-7.deactivate-disk-shrinking-wiper,Get-VM -Name $VM | Remove-AdvancedSetting -Name isolation.tools.diskWiper.disable,
vm.deactivate-non-essential-3d-features,P0,VirtualMachine,VMWARE,mks.enable3d,advanced_setting,boolean,FALSE,Virtual machines must have 3D graphics features deactivated when not required.,"Turning off 3D graphics features on virtual machines that don't need them reduces potential attack vectors, enhancing overall system security.",SCG-7.0:vm-7.deactivate-non-essential-3d-features,Get-VM -Name $VM | Get-AdvancedSetting mks.enable3d | Set-AdvancedSetting -Value FALSE,
vm.dvfilter,P2,VirtualMachine,VMWARE,ethernet*.filter*.name,advanced_setting,string,Not Present,"Virtual machines must limit access through the ""dvfilter"" network Application Programming Interface (API).","The dvFilter interface is used by tools like NSX to filter and inspect network traffic. Other tools may use it, too. Ensure that those tools are authorized.",SCG-7.0:vm-7.dvfilter,"Get-VM -Name $VM | Get-AdvancedSetting ""ethernet*.filter*.name*"" | Remove-AdvancedSetting",
vm.ft-encrypted,P1,VirtualMachine,VMWARE,config.ftEncryptionMode,vim_property,string,ftEncryptionRequired,Virtual machines must require encryption for Fault Tolerance.,"Requiring encryption for Fault Tolerance in VMs ensures secure data transmission. While the default 'opportunistic' encryption likely results in encryption due to ubiquitous AES-NI support in vSphere-compatible hardware, enforcing 'required' encryption guarantees no unencrypted operations.",SCG-7.0:vm-7.ft-encrypted,"$VMview = Get-VM -Name $VM | Get-View ; $ConfigSpec = New-Object VMware.Vim.VirtualMachineConfigSpec ; $ConfigSpec.FtEncryptionMode = New-object VMware.Vim.VirtualMachineConfigSpecEncryptedFtModes ; $ConfigSpec.FtEncryptionMode = ""ftEncryptionRequired"" ; $VMview.ReconfigVM_Task($ConfigSpec)",scalar:config.ftEncryptionMode
vm.isolation-device-connectable-deactivate,P2,VirtualMachine,VMWARE,isolation.device.connectable.disable,advanced_setting,string,TRUE or Undefined,"Virtual machines must prevent unauthorized removal, connection and modification of devices.","Preventing unauthorized device modifications in virtual machines blocks non-admin users or processes from connecting, disconnecting, or adjusting device settings. This measure curbs unauthorized access and operation disruption, reducing denial of service risks, as well as some avenues for exfiltrating data.",SCG-7.0:vm-7.isolation-device-connectable-deactivate,Get-VM -Name $VM | Remove-AdvancedSetting -Name isolation.device.connectable.disable,
vm.isolation-tools-dnd-deactivate,P2,VirtualMachine,VMWARE,isolation.tools.dnd.disable,advanced_setting,string,TRUE or Undefined,Virtual machines must have console drag and drop operations deactivated.,"Deactivating drag and drop operations in a virtual machine's console stops users from transferring data between the VM and the local client, regardless of the console type, enhancing data security.",SCG-7.0:vm-7.isolation-tools-dnd-deactivate,Get-VM -Name $VM | Remove-AdvancedSetting -Name isolation.tools.dnd.disable,
vm.limit-console-connections,P0,VirtualMachine,VMWARE,RemoteDisplay.maxConnections,advanced_setting,integer,1,Virtual machines must limit console sharing.,"Limiting VM console sharing to one user prevents multiple observers, enhancing security. However, this might inadvertently create a potential pathway for service denial.",SCG-7.0:vm-7.limit-console-connections,Get-VM -Name $VM | Get-AdvancedSetting RemoteDisplay.maxConnections | Set-AdvancedSetting -Value 1,
vm.limit-setinfo-size,P2,VirtualMachine,VMWARE,tools.setInfo.sizeLimit,advanced_setting,string,1048576 or Undefined,Virtual machines must limit informational messages from the virtual machine to the VMX file.,Limiting VM informational messages to the VMX file prevents it from exceeding its default size of 1MB. This control prevents potential denial of service situations that could arise if the datastore becomes full.,SCG-7.0:vm-7.limit-setinfo-size,Get-VM -Name $VM | Remove-AdvancedSetting -Name tools.setInfo.sizeLimit,
vm.log-enable,P2,VirtualMachine,VMWARE,config.flags.enableLogging,vim_property,boolean,true,Virtual machines must enable diagnostic logging.,Diagnostic logging for virtual machines helps with forensics and troubleshooting.,SCG-7.0:vm-7.log-enable,$VMview = Get-VM -Name $VM | Get-View ; $ConfigSpec = New-Object VMware.Vim.VirtualMachineConfigSpec ; $ConfigSpec.Flags = New-Object VMware.Vim.VirtualMachineFlagInfo ; $ConfigSpec.Flags.EnableLogging = $true ; $VMview.ReconfigVM_Task($ConfigSpec),bool:config.flags.enableLogging
vm.log-retention,P2,VirtualMachine,VMWARE,log.keepOld,advanced_setting,string,10 or Undefined,Virtual machines must limit the number of retained diagnostic logs.,"By restricting the quantity of retained diagnostic logs, we can avoid filling up the datastore without compromising diagnostic functionality.",SCG-7.0:vm-7.log-retention,Get-VM -Name $VM | Remove-AdvancedSetting -Name log.keepOld,
vm.log-rotation-size,P2,VirtualMachine,VMWARE,log.rotateSize,advanced_setting,string,2048000 or Undefined,Virtual machines must limit the size of diagnostic logs.,"Limiting the size of diagnostic logs on VMs prevents excessive space consumption, particularly on long-running VMs. As per VMware guidelines, the recommended minimum limit is 2MB.",SCG-7.0:vm-7.log-rotation-size,Get-VM -Name $VM | Remove-AdvancedSetting -Name log.rotateSize,
vm.pci-passthrough,P0,VirtualMachine,VMWARE,config.hardware.device.absent.VirtualPCIPassthrough,vim_property,boolean,true,Virtual machines must limit PCI device passthrough functionality.,"DirectPath I/O features enable VMs to directly access system hardware, impacting risk mitigation tools like vMotion, DRS, and High Availability. It also potentially gives attackers privileged hardware access. Ensure only necessary VMs have this privilege, compensating with guest OS security controls.",SCG-7.0:vm-7.pci-passthrough,Get-VM -Name $VM | Get-PassthroughDevice | Remove-PassthroughDevice,vm_hardware_device_absent:config.hardware.device.VirtualPCIPassthrough
vm.remove-unnecessary-devices,P0,VirtualMachine,VMWARE,,powercli_only,string,Not Configured,Virtual machines must remove unnecessary virtual hardware.,"Eliminate unnecessary virtual hardware from VMs to reduce potential attack surfaces. Rarely-used ports, temporary CD/DVD drives, and hardware introduced via migrations could be vulnerable. Removing these decreases risk of software introduction or data exfiltration from a protected environment.",SCG-7.0:vm-7.remove-unnecessary-devices,N/A,
vm.restrict-host-info,P2,VirtualMachine,VMWARE,tools.guestlib.enableHostInfo,advanced_setting,string,FALSE or Undefined,Virtual machines must not be able to obtain host information from the hypervisor.,"Preventing VMs from obtaining host information from the hypervisor mitigates risk of advanced attacks, as it denies adversaries crucial details about the physical host.",SCG-7.0:vm-7.restrict-host-info,Get-VM -Name $VM | Remove-AdvancedSetting -Name tools.guestlib.enableHostInfo,
vm.transparentpagesharing-inter-vm-enabled,P2,VirtualMachine,VMWARE,sched.mem.pshare.salt,advanced_setting,string,vc.uuid or Undefined,Virtual machines must restrict sharing of memory pages between VMs.,"Transparent Page Sharing (TPS) reduces VM memory footprint but could enable unauthorized data access in some very limited conditions. To bolster security, VMs should be configured with the sched.mem.pshare.salt option, preventing memory sharing with other VMs.",SCG-7.0:vm-7.transparentpagesharing-inter-vm-enabled,Get-VM -Name $VM | Remove-AdvancedSetting -Name sched.mem.pshare.salt,
vm.vmotion-encrypted,P1,VirtualMachine,VMWARE,config.migrateEncryption,vim_property,string,required,Virtual machines must require encryption for vMotion.,"Requiring encryption for vMotion in virtual machines guarantees secure data transfer. The default 'opportunistic' encryption likely results in encryption due to widespread AES-NI support in vSphere-compatible hardware. However, enforcing 'required' encryption prevents any unencrypted operations.",SCG-7.0:vm-7.vmotion-encrypted,"$VMview = Get-VM -Name $VM | Get-View ; $ConfigSpec = New-Object VMware.Vim.VirtualMachineConfigSpec ; $ConfigSpec.MigrateEncryption = New-Object VMware.Vim.VirtualMachineConfigSpecEncryptedVMotionModes ; $ConfigSpec.MigrateEncryption = ""required"" ; $VMview.ReconfigVM_Task($ConfigSpec)",scalar:config.migrateEncryption
vm.vmrc-lock,P2,VirtualMachine,VMWARE,tools.guest.desktop.autolock,advanced_setting,string,TRUE or Undefined,Virtual machines must be configured to lock when the last console connection is closed.,Locking virtual machines when the last console connection closes can prevent potential unauthorized access from attackers exploiting logged-in console sessions.,SCG-7.0:vm-7.vmrc-lock,Get-VM -Name $VM | Remove-AdvancedSetting -Name tools.guest.desktop.autolock,
